# corpus-census-rust.tsv — the PINNED rust census roster.  SOUNDNESS R663.
#
# WHY THIS FILE EXISTS.  R662 measured what a month of soundness work changed for a user, over
# "1,626 crates" — which were not a corpus at all, but whatever `cargo` happened to have
# downloaded into this laptop's registry cache.  Nothing owned it, nothing pinned it, and it does
# not exist on the second machine, so THE HEADLINE MEASUREMENT OF THE PROJECT WAS UNREPEATABLE.
# An instrument whose input is an accident produces a number nobody can check.
#
# This is NOT the oracle roster in corpus.sh.  That one is four checkouts chosen for the SHAPES
# they expose (see its comments — sqlite-jdbc is there for one filter, axios for one .d.ts case).
# This one is chosen for SCALE, so a percentage has a denominator.  Keep both; they answer
# different questions and a census over four curated projects would be worthless.
#
# name<TAB>version.  Acquire with: bash bin/corpus-census.sh rust
# Snapshotted 2026-09-25 from the registry that produced R662, so that census is reproducible.
derive_arbitrary	1.4.2
derive_more	2.1.1
derive_more-impl	2.1.1
derive_utils	0.15.1
derive-syn-parse	0.2.0
derive-where	1.6.1
derive-where	1.7.0
des	0.8.1
dialoguer	0.11.0
dialoguer	0.12.0
diesel	2.3.12
diesel	2.3.13
diesel_derives	2.3.10
diesel_derives	2.3.9
diesel_table_macro_syntax	0.3.0
diff	0.1.13
digest	0.10.7
digest	0.11.3
dirs-next	2.0.0
dirs-sys-next	0.1.2
dispatch2	0.3.1
displaydoc	0.2.6
displaydoc	0.2.7
dissimilar	1.0.11
doc-comment	0.3.4
document-features	0.2.12
dotenv	0.15.0
dotenvy	0.15.7
downcast-rs	1.2.1
downcast-rs	2.0.2
dsl_auto_type	0.2.0
duct	0.13.7
duct	1.1.1
duct	1.1.2
dunce	1.0.5
dylint	6.0.1
dylint_internal	6.0.1
dylint_linting	6.0.1
dylint_testing	6.0.1
dyn-clone	1.0.20
ed25519	2.2.3
ed25519-dalek	2.2.0
either	1.10.0
either	1.15.0
either	1.16.0
either	1.18.0
elasticsearch	8.19.0-alpha.1
elasticsearch	8.5.0-alpha.1
email_address	0.2.9
email-encoding	0.4.2
encode_unicode	1.0.0
encoding_rs	0.8.35
encoding_rs	0.8.40
encoding_rs	0.8.41
env_filter	1.0.1
env_filter	2.0.0
env_logger	0.11.10
env_logger	0.11.11
equivalent	1.0.2
errno	0.3.14
errno	0.3.8
error-code	3.4.0
etcetera	0.11.0
etcetera	0.8.0
euclid	0.22.14
event-listener	2.5.3
event-listener	5.4.2
event-listener-strategy	0.5.4
execute	0.2.15
execute	0.3.0
execute-command-macro	0.1.11
execute-command-macro	0.3.0
execute-command-macro-impl	0.1.12
execute-command-macro-impl	0.3.1
execute-command-tokens	0.1.9
execute-command-tokens	0.3.0
executor-trait	2.1.2
fallible-iterator	0.2.0
fallible-iterator	0.3.0
fallible-streaming-iterator	0.1.9
fancy-regex	0.11.0
fastrand	1.9.0
fastrand	2.0.1
fastrand	2.3.0
fastrand	2.4.1
fastrand	2.5.0
fax	0.2.7
fdeflate	0.3.7
fiat-crypto	0.2.9
filedescriptor	0.8.3
filetime	0.2.29
find-msvc-tools	0.1.11
find-msvc-tools	0.1.12
find-msvc-tools	0.1.13
find-msvc-tools	0.1.9
finl_unicode	1.4.0
finl_unicode	1.5.0
fixedbitset	0.4.2
flagset	0.4.7
flate2	1.1.10
flate2	1.1.9
flume	0.11.1
flume	0.12.0
fnv	1.0.7
foldhash	0.1.5
foldhash	0.2.0
foreign-types	0.3.2
foreign-types-shared	0.1.1
form_urlencoded	1.2.2
frunk	0.4.4
frunk_core	0.4.4
frunk_core	0.5.0
frunk_derives	0.4.4
frunk_proc_macro_helpers	0.1.5
frunk_proc_macros	0.1.5
fs_extra	1.3.0
fs-err	2.11.0
fs-err	3.3.1
fs-set-times	0.20.3
fsevent-sys	4.1.0
funty	2.0.0
futures	0.3.33
futures	0.3.34
futures-channel	0.3.33
futures-channel	0.3.34
futures-core	0.3.32
futures-core	0.3.33
futures-core	0.3.34
futures-executor	0.3.34
futures-intrusive	0.5.0
futures-io	0.3.33
futures-io	0.3.34
futures-lite	1.13.0
futures-lite	2.6.1
futures-macro	0.3.34
futures-rustls	0.26.0
futures-sink	0.3.33
futures-sink	0.3.34
futures-task	0.3.32
futures-task	0.3.33
futures-task	0.3.34
futures-util	0.3.32
futures-util	0.3.33
futures-util	0.3.34
generic-array	0.14.7
generic-array	1.4.5
gethostname	1.1.0
getopts	0.2.24
getrandom	0.2.16
getrandom	0.2.17
getrandom	0.3.3
getrandom	0.3.4
getrandom	0.4.1
getrandom	0.4.2
getrandom	0.4.3
git2	0.19.0
git2	0.20.4
git2	0.21.0
glob	0.3.3
glob	0.3.4
globset	0.4.20
grep-cli	0.1.12
h2	0.3.27
h2	0.4.19
half	2.3.1
half	2.7.1
hashbrown	0.12.3
hashbrown	0.14.5
hashbrown	0.15.5
hashbrown	0.16.1
hashbrown	0.17.0
hashbrown	0.17.1
hashlink	0.10.0
hashlink	0.11.1
hashlink	0.9.1
heck	0.4.1
heck	0.5.0
hermit-abi	0.3.9
hermit-abi	0.5.1
hermit-abi	0.5.2
hermit-abi	0.5.3
hex	0.4.3
hickory-net	0.26.1
hickory-net	0.26.2
hickory-net	0.26.3
hickory-proto	0.26.1
hickory-proto	0.26.2
hickory-proto	0.26.3
